iter	Logloss
0	0.5824131436
1	0.4844135327
2	0.4142035781
3	0.3607400152
4	0.3063308631
5	0.2645157051
6	0.2292630577
7	0.1934977765
8	0.1631424745
9	0.1418555005
10	0.1257601092
11	0.1059994369
12	0.09034548495
13	0.07833971235
14	0.06836354997
15	0.05864119265
16	0.05041092767
17	0.04464737018
18	0.03971662045
19	0.0348531821
20	0.03103231933
21	0.02723573645
22	0.02389750838
23	0.02102620323
24	0.01883571227
25	0.01660068658
26	0.0147756399
27	0.01342946311
28	0.01214018994
29	0.01111549013
30	0.009900913172
31	0.009089389907
32	0.008231843114
33	0.007440374494
34	0.006894839936
35	0.00622640676
36	0.00576317807
37	0.005356207424
38	0.004939453502
39	0.004615970618
40	0.00420347078
41	0.0039035112
42	0.003663412018
43	0.003437841833
44	0.003198257354
45	0.002983833916
46	0.002787749767
47	0.002613211224
48	0.002460473643
49	0.002333854089
50	0.002208144036
51	0.002072826359
52	0.001953792257
53	0.001821509194
54	0.001715190402
55	0.001621125796
56	0.00155367559
57	0.001483210027
58	0.001406053462
59	0.001342205687
60	0.001286302962
61	0.0012259358
62	0.001181613935
63	0.001147548242
64	0.001106115985
65	0.001073729305
66	0.001042096168
67	0.0009971868909
68	0.0009586496651
69	0.0009192511398
70	0.0008950521673
71	0.0008712311462
72	0.000847731928
73	0.0008204092872
74	0.0007907816147
75	0.0007664983968
76	0.000744163899
77	0.000720358702
78	0.000700616344
79	0.0006799998838
80	0.0006619686716
81	0.0006465490742
82	0.0006339158325
83	0.0006073851345
84	0.0005957916379
85	0.0005782755092
86	0.0005656143071
87	0.0005468044016
88	0.0005341182856
89	0.0005213584047
90	0.0005093788811
91	0.0004935497832
92	0.0004823683451
93	0.0004823634732
94	0.0004693160661
95	0.0004570040355
96	0.0004570040355
97	0.000444157196
98	0.000444157196
99	0.0004326586301
100	0.0004224954421
101	0.0004224954421
102	0.0004224939934
103	0.000422487679
104	0.000422487679
105	0.000422487679
106	0.000422487679
107	0.0004224917313
108	0.000422490413
109	0.0004224802098
110	0.0004130708509
111	0.0004130708509
112	0.0004023205468
